event_name,start_date,end_date,event_type,description
Abbas ask for independence declaration,23/09/2011,23/09/2011,UN_event,"In gaza and west bank, with Jerusalem as capital/"
terror_Sep_23_2011,23/09/2011,23/09/2011,terror_event,Father and son killed by a rock thrown at their car at Rosh Hashana.
Gilad Shalit negotiation,06/10/2011,11/10/2011,Affair,Agreement was approved at 11/10
Gilad Shalit release,18/10/2011,18/10/2011,Affair,
Stabbing attack 22 Oct 2011,22/10/2011,22/10/2011,terror_event,"Jerusalem, Ramot neighborhood. A 20 years old is wounded."
Ilan Grapel release,27/10/2011,27/10/2011,diplomat activity,A trade of Ilan from Egypt in exchange to Egyptian prisoners in Israel.
Grads attack Oct 2011,29/10/2011,29/10/2011,terror_event,Man killed by rocket from gaza in Ashkelon
Marine force take over 2 ships,04/11/2011,04/11/2011,operation,The ships populated by pro-palestine activits who tried to break the naval siege on gaza.
Peace talks Aman Jan 2012,03/01/2012,03/01/2012,peace_talks,
Hammas head parlament capture,25/01/2012,25/01/2012,operation,
Explotion in Israeli embassy in New Delhi,13/02/2012,13/02/2012,terror_event,Another bomb founded in Israel embassy in Tibilisi (Georgia). Israel blames Iran for both attacks.
Apartheid Week,04/03/2012,10/03/2012,propaganda,
Operation Hed Hozer,09/03/2012,16/03/2012,escalation,
Grad in Eilat,05/04/2012,05/04/2012,terror_event,From Sinai
terror_Apr_05_2012,01/06/2012,01/06/2012,terror_event,A soldier killed by a terrorist from Gaza
Sinai minor escalation,15/06/2012,18/06/2012,escalation,"Rockets and terror attack, RPG fire and more/"
June 2012 escalation,18/06/2012,23/06/2012,escalation,Several clashes between Jihad forces and IDF in Gaza and Egypt border and rocket lunches.
Burgas bug terror attack,18/07/2012,18/07/2012,terror_event,"7 deads, 32 wounded. Israeli tourists bus exploded in Burgas."
Egypt border terror attac,05/08/2012,05/08/2012,terror_event,
Israel gaza sinai border terror,05/08/2012,05/08/2012,terror_event,"15 egyptian soldiers are killed, 2 vehicles stolen, penetration attempt to Israel and rockets."
terror_Aug_16_2012,16/08/2012,16/08/2012,terror_event,6 family members injured by a Molotov cocktail
egypt border attack,21/09/2012,21/09/2012,terror_event,"1 dead soldier, 1 more injured. 3 terrorists dead."
Rockets from Syria Sep 2012,25/09/2012,25/09/2012,terror_event,"Rockets from battles in Syria land in Israel, no casualties or damage"
Rockets from Syria Nov 2012,25/09/2012,25/09/2012,terror_event,"Rockets from battles in Syria land in Israel, no casualties or damage"
